"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Northeastern Health System","Tahlequah","Oklahoma","Government","2","Same","Below","Same","Same","Same","Same","Below","22217","Average","Average","14001","Average","Lower","15988","Average","Lower","22134","Average","Average"
"Saint Francis Hospital, Inc","Tulsa","Oklahoma","Private","4","Above","Above","Above","Above","Same","Same","Below","22320","Average","Lower","16924","Average","Average","18598","Average","Higher","20315","Average","Lower"
"O U Medicine","Oklahoma City","Oklahoma","Private","1","Same","Below","Below","Below","Same","Below","Below","24396","Average","Average","15218","Average","Lower","18211","Average","Average","25109","Average","Higher"
"Alliancehealth Midwest","Midwest City","Oklahoma","Proprietary","1","Same","Below","Below","Below","Same","Above","Below","23076","Average","Average","16713","Average","Average","17126","Average","Average","23037","Average","Average"
"Southwestern Medical Center","Lawton","Oklahoma","Proprietary","2","Same","Same","Below","Same","Same","Same","Same","0","Unknown","Unknown","15516","Average","Average","19615","Average","Higher","22328","Average","Average"
"Hillcrest Hospital Cushing","Cushing","Oklahoma","Proprietary","3","Same","None","Same","Same","Same","Above","Below","0","Unknown","Unknown","17022","Average","Average","13961","Average","Lower","0","Unknown","Unknown"
"Choctaw Memorial Hospital","Hugo","Oklahoma","Government","2","Same","None","Same","Below","Below","Same","Same","0","Unknown","Unknown","14750","Average","Lower","14633","Average","Lower","0","Unknown","Unknown"
"Integris Southwest Medical Center","Oklahoma City","Oklahoma","Private","2","Same","Below","Above","Below","Same","Above","Below","24892","Average","Average","15796","Average","Average","17660","Average","Average","25740","Average","Higher"
"Sequoyah County-city Of Sallisaw Hospital Authorit","Sallisaw","Oklahoma","Government","4","Same","None","Above","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","17614","Average","Average","0","Unknown","Unknown"
"Integris Grove Hospital","Grove","Oklahoma","Private","3","Same","Above","Below","Above","Same","Above","Same","25349","Average","Average","16907","Average","Average","17074","Average","Average","21009","Average","Average"
"St John Medical Center, Inc","Tulsa","Oklahoma","Private","2","Below","Below","Above","Same","Below","Same","Same","23813","Average","Average","15543","Average","Lower","17731","Average","Average","0","Unknown","Unknown"
"Perry Memorial Hospital","Perry","Oklahoma","Government","3","Same","None","Above","None","Same","Above","None","0","Unknown","Unknown","16714","Average","Average","16258","Average","Average","0","Unknown","Unknown"
"Ssm Health St Anthony Hospital - Shawnee","Shawnee","Oklahoma","Private","2","Below","Same","Below","Above","Above","Above","Below","24133","Average","Average","17476","Average","Average","19438","Average","Higher","23203","Average","Average"
"Elkview General Hospital","Hobart","Oklahoma","Government","3","Same","None","Same","None","Same","Above","None","0","Unknown","Unknown","16079","Average","Average","19256","Average","Average","24376","Average","Average"
"Pauls Valley Hospital Authority","Pauls Valley","Oklahoma","Government","4","Same","None","Above","None","Same","Above","Same","0","Unknown","Unknown","15533","Average","Average","14443","Average","Lower","0","Unknown","Unknown"
"Purcell Municipal Hospital","Purcell","Oklahoma","Government","3","Same","None","Same","Same","Below","Above","Same","0","Unknown","Unknown","13952","Average","Lower","13988","Average","Lower","0","Unknown","Unknown"
"Wagoner Community Hospital","Wagoner","Oklahoma","Government","2","Same","None","Same","Below","Below","Above","Same","0","Unknown","Unknown","15011","Average","Average","15482","Average","Average","0","Unknown","Unknown"
"Lawton Indian Hospital","Lawton","Oklahoma","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"W W Hastings Indian Hospital","Tahlequah","Oklahoma","Unknown","4","Same","None","Above","Same","Same","None","None","0","Unknown","Unknown","13881","Average","Lower","15692","Average","Average","0","Unknown","Unknown"
"Choctaw Nation Health Services Authority","Talihina","Oklahoma","Unknown","4","None","None","Same","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","11443","Average","Lower","0","Unknown","Unknown"
"Claremore Indian Hospital","Claremore","Oklahoma","Unknown","-1","None","None","None","None","Same","None","None","0","Unknown","Unknown","14536","Average","Average","0","Unknown","Unknown","0","Unknown","Unknown"
"Memorial Hospital","Stilwell","Oklahoma","Private","5","Same","None","Above","Same","Same","Above","None","0","Unknown","Unknown","12865","Average","Lower","14036","Better","Lower","0","Unknown","Unknown"
"Chickasaw Nation Medical Center","Ada","Oklahoma","Unknown","4","Same","Same","Same","Above","Same","None","None","0","Unknown","Unknown","14837","Average","Average","14730","Average","Lower","18659","Average","Lower"
"Hillcrest Hospital Henryetta","Henryetta","Oklahoma","Proprietary","3","Same","None","Same","None","Same","Above","Same","0","Unknown","Unknown","15498","Average","Average","14153","Average","Lower","0","Unknown","Unknown"
"Southwestern Regional Medical Center, Inc","Tulsa","Oklahoma","Proprietary","4","None","Same","None","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Northwest Surgical Hospital","Oklahoma City","Oklahoma","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","21994","Average","Average"
"Lakeside Women's Hospital, A Member Of Integris He","Oklahoma City","Oklahoma","Unknown","-1","None","None","None","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Surgical Hospital Of Oklahoma, Llc","Oklahoma City","Oklahoma","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Hillcrest Hospital South","Tulsa","Oklahoma","Proprietary","2","Above","Below","Above","Below","Below","Below","Below","22668","Average","Average","16915","Better","Average","16057","Average","Lower","21987","Average","Average"
"Community Hospital, Llc","Oklahoma City","Oklahoma","Unknown","5","None","None","Above","Above","Same","Same","Below","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","21887","Average","Average"
"Oklahoma Spine Hospital","Oklahoma City","Oklahoma","Unknown","-1","None","None","None","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Oklahoma Surgical Hospital, Llc","Tulsa","Oklahoma","Unknown","5","None","Above","Above","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","19101","Average","Lower"
"Integris Canadian Valley Hospital","Yukon","Oklahoma","Private","2","Same","Below","Below","Same","Same","Above","Same","0","Unknown","Unknown","16249","Average","Average","17260","Average","Average","24286","Average","Higher"
"Oklahoma Center For Orthopaedic & Multi-sp","Oklahoma City","Oklahoma","Proprietary","4","None","None","Below","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","21848","Average","Average"
"Lindsay Municipal Hospital","Lindsay","Oklahoma","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Oklahoma Heart Hospital, Llc","Oklahoma City","Oklahoma","Unknown","5","Above","Above","Above","Above","Same","Above","Same","23281","Average","Average","16268","Average","Average","17219","Average","Average","0","Unknown","Unknown"
"Tulsa Spine & Specialty Hospital, Llc","Tulsa","Oklahoma","Unknown","-1","None","None","None","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Saint Francis Hospital South, Llc","Tulsa","Oklahoma","Private","4","Same","Same","Above","Above","Same","Same","Same","23329","Average","Average","16245","Average","Average","18792","Average","Higher","21059","Average","Average"
"Onecore Health","Oklahoma City","Oklahoma","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","23567","Average","Average"
"Mcbride Orthopedic Hospital","Oklahoma City","Oklahoma","Unknown","5","None","Above","None","Above","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","20046","Average","Lower"
"Summit Medical Center, Llc","Edmond","Oklahoma","Unknown","-1","None","None","None","None","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"St John Owasso","Owasso","Oklahoma","Private","4","Same","None","Above","Above","Same","Above","Same","0","Unknown","Unknown","15026","Average","Average","15933","Average","Lower","20625","Average","Average"
"Bailey Medical Center, Llc","Owasso","Oklahoma","Proprietary","4","None","Above","Same","Above","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","15632","Average","Average","20881","Average","Average"
"Alliancehealth Seminole","Seminole","Oklahoma","Proprietary","3","Same","None","Below","None","Same","Above","None","0","Unknown","Unknown","16537","Average","Average","16718","Average","Average","0","Unknown","Unknown"
"Pinnacle Specialty Hospital","Tulsa","Oklahoma","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Oklahoma Heart Hospital South, Llc","Oklahoma City","Oklahoma","Unknown","5","Above","Below","Above","Above","Same","Above","Same","22423","Average","Average","16659","Average","Average","18334","Average","Average","0","Unknown","Unknown"
"St John Broken Arrow, Inc","Broken Arrow","Oklahoma","Private","5","Same","Above","Above","Above","Same","Same","Same","0","Unknown","Unknown","15184","Average","Average","17171","Average","Average","21031","Average","Lower"
"Integris Health Edmond","Edmond","Oklahoma","Private","3","Same","Same","Below","Above","Same","Above","Same","24942","Average","Average","16269","Average","Average","17898","Average","Average","22573","Worse","Average"
"Saint Francis Hospital Vinita, Inc","Vinita","Oklahoma","Private","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Atoka County Medical Center","Atoka","Oklahoma","Government","-1","Same","None","Same","None","None","None","None","0","Unknown","Unknown","17096","Average","Average","16985","Average","Average","0","Unknown","Unknown"
"Prague Community Hospital","Prague","Oklahoma","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","15207","Average","Average","0","Unknown","Unknown"
"Mercy Hospital Watonga, Inc","Watonga","Oklahoma","Church","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","20660","Average","Higher","0","Unknown","Unknown"
"Roger Mills Memorial Hospital","Cheyenne","Oklahoma","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Mercy Hospital Tishomingo","Tishomingo","Oklahoma","Church","3","None","None","Same","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","16424","Average","Average","0","Unknown","Unknown"
"Jane Phillips Nowata Hospital, Inc","Nowata","Oklahoma","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","20375","Average","Average","0","Unknown","Unknown"
"Mercy Health Love County","Marietta","Oklahoma","Government","4","None","None","Same","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","27126","Average","Higher","0","Unknown","Unknown"
"Cimarron Memorial Hospital","Boise City","Oklahoma","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Pawhuska Hospital, Inc","Pawhuska","Oklahoma","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Mercy Hospital Healdton, Inc.","Healdton","Oklahoma","Private","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","19322","Average","Average","0","Unknown","Unknown"
"Jefferson County Hospital","Waurika","Oklahoma","Government","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"St John Sapulpa, Inc","Sapulpa","Oklahoma","Private","4","None","None","Same","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","15838","Average","Average","0","Unknown","Unknown"
"Mercy Hospital Kingfisher, Inc","Kingfisher","Oklahoma","Private","4","Same","None","Same","None","Same","Above","None","0","Unknown","Unknown","17344","Average","Average","16906","Average","Average","0","Unknown","Unknown"
"The Physicians' Hospital In Anadarko","Anadarko","Oklahoma","Private","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","22640","Average","Higher","0","Unknown","Unknown"
"Stroud Regional Medical Center","Stroud","Oklahoma","Private","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","18282","Average","Average","0","Unknown","Unknown"
"Mercy Hospital Logan County, Inc","Guthrie","Oklahoma","Private","4","Same","None","Above","None","Same","Above","Same","0","Unknown","Unknown","18013","Average","Average","20559","Average","Higher","0","Unknown","Unknown"
"Fairfax Community Hospital","Fairfax","Oklahoma","Proprietary","3","None","None","Same","None","Same","None","Same","0","Unknown","Unknown","0","Unknown","Unknown","20198","Average","Average","0","Unknown","Unknown"
"Mary Hurley Hospital","Coalgate","Oklahoma","Private","2","Same","None","Below","None","None","None","Same","0","Unknown","Unknown","15854","Average","Average","13912","Average","Lower","0","Unknown","Unknown"
"Cleveland Area Hospital","Cleveland","Oklahoma","Government","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","17488","Average","Average","0","Unknown","Unknown"
"Holdenville General Hospital","Holdenville","Oklahoma","Government","3","Same","None","Same","None","Same","Above","None","0","Unknown","Unknown","14354","Average","Lower","15047","Average","Lower","0","Unknown","Unknown"
"Beaver County Memorial Hospital","Beaver","Oklahoma","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","21236","Average","Higher","0","Unknown","Unknown"
"Weatherford Regional Hospital, Inc Of Weatherford","Weatherford","Oklahoma","Government","3","Same","None","Same","None","Same","Same","None","0","Unknown","Unknown","17164","Average","Average","15635","Average","Lower","0","Unknown","Unknown"
"Harper County Community Hospital","Buffalo","Oklahoma","Government","-1","None","None","None","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","18276","Average","Average","0","Unknown","Unknown"
"Cordell Memorial Hospital","Cordell","Oklahoma","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","16149","Average","Average","0","Unknown","Unknown"
"Alliancehealth Madill","Madill","Oklahoma","Proprietary","2","Same","None","Below","None","Same","Above","Same","0","Unknown","Unknown","16518","Average","Average","17102","Average","Average","0","Unknown","Unknown"
"Okeene Municipal Hospital","Okeene","Oklahoma","Government","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","19351","Average","Average","0","Unknown","Unknown"
"Arbuckle Memorial Hospital Authority","Sulphur","Oklahoma","Government","5","Same","None","Above","Above","None","None","Same","0","Unknown","Unknown","16805","Average","Average","15503","Average","Lower","0","Unknown","Unknown"
"Fairview Regional Medical Center Authority","Fairview","Oklahoma","Government","-1","None","None","None","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","21555","Average","Higher","0","Unknown","Unknown"
"Mangum Regional Medical Center","Mangum","Oklahoma","Proprietary","-1","None","None","Below","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","17175","Average","Average","0","Unknown","Unknown"
"Drumright Regional Hospital","Drumright","Oklahoma","Proprietary","-1","None","None","Below","None","None","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","12815","Average","Lower","0","Unknown","Unknown"
"Seiling Municipal Hospital","Seiling","Oklahoma","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","18331","Average","Average","0","Unknown","Unknown"
"Creek Nation Community Hospital","Okemah","Oklahoma","Government","3","None","None","Same","None","Same","Above","None","0","Unknown","Unknown","14541","Average","Average","14905","Average","Average","0","Unknown","Unknown"
"Carnegie Tri-county Municipal Hospital","Carnegie","Oklahoma","Government","-1","None","None","Below","None","None","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","19052","Average","Average","0","Unknown","Unknown"
"Haskell County Community Hospital","Stigler","Oklahoma","Proprietary","3","Same","None","Above","None","Same","Same","None","0","Unknown","Unknown","15445","Average","Average","18200","Average","Average","0","Unknown","Unknown"
"Newman Memorial Hospital","Shattuck","Oklahoma","Government","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Eastern Oklahoma Medical Center","Poteau","Oklahoma","Government","3","None","None","Below","Same","Same","None","None","0","Unknown","Unknown","15610","Average","Average","0","Unknown","Unknown","0","Unknown","Unknown"
"Harmon Memorial Hospital","Hollis","Oklahoma","Government","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Memorial Hospital Of Texas County Authority","Guymon","Oklahoma","Government","3","Same","None","Same","None","Same","Above","Same","0","Unknown","Unknown","17185","Average","Average","15418","Average","Lower","0","Unknown","Unknown"
"Share Medical Center","Alva","Oklahoma","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"J D Mccarty Center For Children","Norman","Oklahoma","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Mid-columbia Medical Center","The Dalles","Oregon","Unknown","3","Same","Above","Above","Same","Below","Same","Same","0","Unknown","Unknown","14178","Average","Lower","13650","Worse","Lower","20230","Average","Lower"
"Asante Three Rivers Medical Center","Grants Pass","Oregon","Unknown","5","Same","Above","Above","Above","Same","Same","Same","20266","Average","Lower","12947","Average","Lower","15791","Average","Lower","16921","Average","Lower"
"Providence St Vincent Medical Center","Portland","Oregon","Private","4","Same","Above","Above","Above","Below","Same","Same","22236","Average","Average","16831","Average","Average","15938","Average","Lower","17610","Average","Lower"
"Asante Ashland Community Hospital","Ashland","Oregon","Government","4","Same","Above","Same","Above","Same","Above","None","0","Unknown","Unknown","14679","Average","Average","17844","Average","Average","20458","Average","Lower"
"Legacy Emanuel Medical Center","Portland","Oregon","Private","3","Same","Below","Above","Same","Same","Same","Same","24317","Average","Average","16034","Average","Average","16320","Average","Average","20062","Average","Average"
"Ohsu Hospital And Clinics","Portland","Oregon","Unknown","5","Same","Above","Above","Above","Same","Below","Below","21312","Average","Lower","17768","Average","Average","16102","Average","Average","19465","Average","Lower"
"Good Samaritan Regional Medical Center","Corvallis","Oregon","Private","4","Below","Above","Above","Same","Same","Same","Same","21435","Average","Lower","14687","Worse","Lower","15908","Average","Lower","18619","Average","Lower"
"Legacy Good Samaritan Medical Center","Portland","Oregon","Private","4","Same","Above","Below","Above","Same","Same","Same","22354","Average","Average","16311","Average","Average","15400","Average","Lower","20033","Average","Lower"
"Asante Rogue Regional Medical Center","Medford","Oregon","Private","5","Same","Above","Above","Above","Same","Above","Same","21688","Average","Lower","14830","Average","Lower","15659","Average","Lower","18357","Average","Lower"
"Mckenzie-willamette Medical Center","Springfield","Oregon","Private","3","Below","Above","Above","Below","Same","Below","Same","23597","Average","Average","14871","Worse","Lower","14148","Average","Lower","17999","Average","Lower"
"Tuality Community Hospital","Hillsboro","Oregon","Private","4","Same","Above","Above","Below","Same","Same","Same","22747","Average","Average","15402","Average","Average","15905","Average","Average","20487","Average","Average"
"Samaritan Albany General Hospital","Albany","Oregon","Church","4","Same","Same","Above","Same","Same","Above","Same","0","Unknown","Unknown","14543","Average","Lower","16002","Average","Average","18134","Average","Lower"
"Legacy Mount Hood Medical Center","Gresham","Oregon","Private","3","Same","Below","Same","Same","Same","Above","Same","24081","Average","Average","15174","Average","Average","15606","Average","Lower","17725","Average","Lower"
"Mercy Medical Center","Roseburg","Oregon","Government","2","Below","Above","Above","Below","Same","Above","Same","23319","Average","Average","14817","Average","Lower","14576","Average","Lower","18206","Average","Lower"
"Legacy Silverton Medical Center","Silverton","Oregon","Private","4","None","Above","Same","Above","Same","Same","Same","0","Unknown","Unknown","15719","Average","Average","16788","Average","Average","18288","Average","Lower"
"Sacred Heart University District","Eugene","Oregon","Private","3","None","None","Same","Below","Same","Same","None","0","Unknown","Unknown","15397","Average","Average","16288","Average","Average","0","Unknown","Unknown"
"Providence Newberg Medical Center","Newberg","Oregon","Church","4","Same","Same","Above","Above","Same","Same","Same","21904","Average","Average","14278","Average","Lower","16107","Average","Average","19652","Average","Lower"
"Providence Willamette Falls Medical Center","Oregon City","Oregon","Private","3","Same","Same","Same","Above","Same","Same","Same","21775","Average","Average","15300","Average","Average","16382","Average","Average","20068","Average","Lower"
"St Charles Redmond","Redmond","Oregon","Private","3","Same","Below","Above","Above","Same","Same","None","0","Unknown","Unknown","15881","Average","Average","15663","Average","Lower","18529","Average","Lower"
"St Charles Bend","Bend","Oregon","Private","4","Below","Above","Above","Same","Below","Below","Above","22607","Average","Average","15466","Average","Lower","16652","Average","Average","18006","Average","Lower"
"Sky Lakes Medical Center","Klamath Falls","Oregon","Private","3","Below","Above","Above","Same","Below","Below","Same","24666","Average","Average","14971","Average","Lower","16821","Average","Average","19311","Average","Lower"
"Salem Hospital","Salem","Oregon","Unknown","3","Same","Below","Above","Above","Below","Below","Above","23391","Average","Average","16227","Average","Average","17226","Average","Average","17910","Average","Lower"
"Saint Alphonsus Medical Center - Ontario, Inc","Ontario","Oregon","Church","4","Same","Above","Above","Same","Same","Same","Same","22848","Average","Average","15740","Average","Average","15646","Average","Lower","21617","Average","Average"
"Santiam Hospital","Stayton","Oregon","Private","3","None","None","Same","Same","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","14939","Average","Lower","0","Unknown","Unknown"
"Adventist Health Portland","Portland","Oregon","Church","3","Same","Below","Above","Above","Same","Same","Same","20978","Average","Lower","15895","Average","Average","16762","Average","Average","19301","Average","Lower"
"Providence Portland Medical Center","Portland","Oregon","Church","4","Same","Above","Above","Above","Same","Same","Same","20880","Average","Lower","16110","Average","Average","15331","Average","Lower","18478","Average","Lower"
"Willamette Valley Medical Center","Mcminnville","Oregon","Private","4","Same","Above","Same","Above","Same","Above","Same","21630","Average","Average","15196","Average","Average","16789","Average","Average","18479","Average","Lower"
"Providence Medford Medical Center","Medford","Oregon","Church","4","Same","Above","Above","Above","Same","Same","Same","23611","Average","Average","15192","Average","Lower","15544","Average","Lower","17885","Average","Lower"
"Providence Milwaukie Hospital","Milwaukie","Oregon","Church","3","Same","Same","Above","Above","Same","Same","Same","23171","Average","Average","15404","Average","Average","16243","Worse","Average","20023","Average","Lower"
"Legacy Meridian Park Medical Center","Tualatin","Oregon","Private","3","Same","Same","Above","Above","Same","Above","Same","23091","Average","Average","14607","Average","Lower","15043","Average","Lower","18398","Average","Lower"
"Bay Area Hospital","Coos Bay","Oregon","Government","3","Same","Below","Above","Same","Same","Same","Above","22269","Average","Average","14673","Average","Lower","16269","Average","Lower","20157","Average","Lower"
"Kaiser Sunnyside Medical Center","Clackamas","Oregon","Unknown","4","None","Above","Above","Above","Above","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Sacred Heart Medical Center - Riverbend","Springfield","Oregon","Private","3","Same","Below","Above","Same","Same","Below","Above","22530","Average","Average","15576","Average","Lower","15915","Average","Lower","17837","Average","Lower"
"Kaiser Foundation Hospital - Westside","Hillsboro","Oregon","Private","4","None","Below","None","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Peacehealth Cottage Grove Community Medical Center","Cottage Grove","Oregon","Private","2","None","None","Below","None","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","14406","Average","Lower","0","Unknown","Unknown"
"Samaritan North Lincoln Hospital","Lincoln City","Oregon","Private","4","Same","None","Above","Above","Same","Above","Same","0","Unknown","Unknown","15779","Average","Average","16413","Average","Average","20253","Average","Average"
"Providence Seaside Hospital","Seaside","Oregon","Church","4","Same","None","Above","Above","Same","Above","Same","0","Unknown","Unknown","15861","Average","Average","14801","Average","Lower","20628","Average","Average"
"Southern Coos Hospital & Health Center","Bandon","Oregon","Government","-1","Same","None","Same","None","None","None","None","0","Unknown","Unknown","17294","Average","Average","17370","Worse","Average","0","Unknown","Unknown"
"Blue Mountain Hospital","John Day","Oregon","Government","-1","None","None","Above","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","18571","Average","Average","0","Unknown","Unknown"
"Wallowa Memorial Hospital","Enterprise","Oregon","Government","-1","None","None","Same","Above","None","None","None","0","Unknown","Unknown","17690","Average","Average","14917","Average","Lower","0","Unknown","Unknown"
"Harney District Hospital","Burns","Oregon","Government","-1","None","None","None","None","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","17215","Average","Average","0","Unknown","Unknown"
"Salem Health West Valley","Dallas","Oregon","Private","-1","None","None","None","None","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Lake District Hospital","Lakeview","Oregon","Government","4","None","None","Above","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","19322","Average","Average","0","Unknown","Unknown"
"Pioneer Memorial Hospital","Heppner","Oregon","Government","-1","None","None","None","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Lower Umpqua Hospital District","Reedsport","Oregon","Government","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","17172","Average","Average","0","Unknown","Unknown"
"Coquille Valley Hospital District","Coquille","Oregon","Government","2","Same","None","Below","None","Same","Above","Same","0","Unknown","Unknown","15706","Average","Average","13521","Average","Lower","16926","Average","Lower"
"St Charles Prineville","Prineville","Oregon","Private","4","Same","None","Above","Above","Same","Same","None","0","Unknown","Unknown","14011","Average","Lower","16546","Average","Average","0","Unknown","Unknown"
"Samaritan Pacific Community Hospital","Newport","Oregon","Private","3","Same","Same","Above","Same","Same","Above","Below","0","Unknown","Unknown","15032","Average","Average","13768","Average","Lower","21212","Average","Average"
"Saint Alphonsus Medical Center - Baker City, Inc","Baker City","Oregon","Church","3","Same","None","Above","Above","None","None","None","0","Unknown","Unknown","14951","Worse","Average","14088","Average","Lower","21603","Average","Average"
"Peace Harbor Medical Center","Florence","Oregon","Church","3","Same","None","Same","Above","Same","Above","Same","0","Unknown","Unknown","13802","Average","Lower","15271","Average","Lower","20955","Average","Average"
"Adventist Health Tillamook","Tillamook","Oregon","Church","2","Same","None","Below","Same","None","None","None","0","Unknown","Unknown","15137","Average","Average","15118","Average","Lower","22570","Average","Average"
"Providence Hood River Memorial Hospital","Hood River","Oregon","Church","4","Same","None","Above","Above","Same","Same","Same","0","Unknown","Unknown","16572","Average","Average","14114","Average","Lower","22586","Average","Average"
"St Anthony Hospital","Pendleton","Oregon","Church","4","Same","Same","Above","Above","Same","None","None","0","Unknown","Unknown","15533","Average","Average","16406","Average","Average","19329","Average","Lower"
"Columbia Memorial Hospital","Astoria","Oregon","Proprietary","3","Same","None","Same","Same","Same","Above","Same","0","Unknown","Unknown","14633","Average","Lower","13285","Average","Lower","20153","Average","Lower"
"Grande Ronde Hospital","La Grande","Oregon","Private","3","Same","None","Same","Same","Same","Same","Same","0","Unknown","Unknown","13923","Average","Lower","13255","Average","Lower","18575","Average","Lower"
